Class,Student,Subject,Category,Material
10,E,Biology,Practice Worksheets,materials/10_Biology_Practice.pdf
10,E,Biology,Advanced Material,materials/10_Biology_Advanced.pdf
10,E,Biology,Video Tutorial,materials/10_Biology_Video.mp4

11,A,Math,Basic Notes,materials/11_Math_Basic_Notes.pdf
11,A,Math,Revision Guide,materials/11_Math_Revision_Guide.pdf
11,A,Math,Practice Worksheets,materials/11_Math_Practice.pdf
11,A,Math,Advanced Material,materials/11_Math_Advanced.pdf
11,A,Math,Video Tutorial,materials/11_Math_Video.mp4

11,B,English,Basic Notes,materials/11_English_Basic_Notes.pdf
11,B,English,Revision Guide,materials/11_English_Revision_Guide.pdf
11,B,English,Practice Worksheets,materials/11_English_Practice.pdf
11,B,English,Advanced Material,materials/11_English_Advanced.pdf
11,B,English,Video Tutorial,materials/11_English_Video.mp4

11,C,Chemistry,Basic Notes,materials/11_Chemistry_Basic_Notes.pdf
11,C,Chemistry,Revision Guide,materials/11_Chemistry_Revision_Guide.pdf
11,C,Chemistry,Practice Worksheets,materials/11_Chemistry_Practice.pdf
11,C,Chemistry,Advanced Material,materials/11_Chemistry_Advanced.pdf
11,C,Chemistry,Video Tutorial,materials/11_Chemistry_Video.mp4

11,D,Physics,Basic Notes,materials/11_Physics_Basic_Notes.pdf
11,D,Physics,Revision Guide,materials/11_Physics_Revision_Guide.pdf
11,D,Physics,Practice Worksheets,materials/11_Physics_Practice.pdf
11,D,Physics,Advanced Material,materials/11_Physics_Advanced.pdf
11,D,Physics,Video Tutorial,materials/11_Physics_Video.mp4

11,E,Biology,Basic Notes,materials/11_Biology_Basic_Notes.pdf
11,E,Biology,Revision Guide,materials/11_Biology_Revision_Guide.pdf
11,E,Biology,Practice Worksheets,materials/11_Biology_Practice.pdf
11,E,Biology,Advanced Material,materials/11_Biology_Advanced.pdf
11,E,Biology,Video Tutorial,materials/11_Biology_Video.mp4

12,A,Math,Basic Notes,materials/12_Math_Basic_Notes.pdf
12,A,Math,Revision Guide,materials/12_Math_Revision_Guide.pdf
12,A,Math,Practice Worksheets,materials/12_Math_Practice.pdf
12,A,Math,Advanced Material,materials/12_Math_Advanced.pdf
12,A,Math,Video Tutorial,materials/12_Math_Video.mp4

12,B,English,Basic Notes,materials/12_English_Basic_Notes.pdf
12,B,English,Revision Guide,materials/12_English_Revision_Guide.pdf
12,B,English,Practice Worksheets,materials/12_English_Practice.pdf
12,B,English,Advanced Material,materials/12_English_Advanced.pdf
12,B,English,Video Tutorial,materials/12_English_Video.mp4

12,C,Chemistry,Basic Notes,materials/12_Chemistry_Basic_Notes.pdf
12,C,Chemistry,Revision Guide,materials/12_Chemistry_Revision_Guide.pdf
12,C,Chemistry,Practice Worksheets,materials/12_Chemistry_Practice.pdf
12,C,Chemistry,Advanced Material,materials/12_Chemistry_Advanced.pdf
12,C,Chemistry,Video Tutorial,materials/12_Chemistry_Video.mp4

12,D,Physics,Basic Notes,materials/12_Physics_Basic_Notes.pdf
12,D,Physics,Revision Guide,materials/12_Physics_Revision_Guide.pdf
12,D,Physics,Practice Worksheets,materials/12_Physics_Practice.pdf
12,D,Physics,Advanced Material,materials/12_Physics_Advanced.pdf
12,D,Physics,Video Tutorial,materials/12_Physics_Video.mp4

12,E,Biology,Basic Notes,materials/12_Biology_Basic_Notes.pdf
12,E,Biology,Revision Guide,materials/12_Biology_Revision_Guide.pdf
12,E,Biology,Practice Worksheets,materials/12_Biology_Practice.pdf
12,E,Biology,Advanced Material,materials/12_Biology_Advanced.pdf
12,E,Biology,Video Tutorial,materials/12_Biology_Video.mp4
